Master X,Master Y
0,0
0.0119109345,0.0100822435
0.0212041066,0.0226821083
0.0292462713,0.0361015154
0.0366064008,0.0499315814
0.0437044687,0.0638848433
0.0505396632,0.0779763209
0.0570798792,0.0922029415
0.0634240668,0.1065204779
0.0696907585,0.1208709315
0.0758776201,0.135256627
0.0819629923,0.1496851893
0.0879551872,0.1641528932
0.0938676519,0.1786532642
0.099698941,0.1931865244
0.1054492741,0.2077519807
0.1111396338,0.2223409954
0.1167971844,0.2369427623
0.1224521747,0.2515455258
0.1281354184,0.2661373087
0.1338767045,0.2807063442
0.139702538,0.2952417667
0.1456275074,0.3097370548
0.1516618765,0.3241871376
0.1578107622,0.3385888597
0.1640776559,0.3529396225
0.1704647999,0.3672372681
0.1769742824,0.3814796297
0.1836088858,0.3956641346
0.1903716503,0.4097879824
0.1972660398,0.4238480446
0.2042958183,0.4378409016
0.2114656405,0.4517625157
0.2187804919,0.4656084707
0.2262459619,0.4793737929
0.2338677382,0.4930531809
0.2416515326,0.5066410235
0.2496028569,0.520131507
0.2577266782,0.5335188153
0.2660275574,0.5467970566
0.2745092638,0.5599605195
0.2831750884,0.5730035025
0.2920274696,0.5859205884
0.3010683886,0.5987064164
0.3102990838,0.6113559123
0.319720427,0.6238640559
0.3293327598,0.6362260262
0.3391361745,0.6484370135
0.3491304648,0.6604922698
0.3593152668,0.6723870062
0.3696900473,0.684116404
0.3802541314,0.6956755938
0.3910066205,0.7070597329
0.4019463985,0.7182640094
0.4130718813,0.729283906
0.4243811314,0.7401151246
0.4358714112,0.7507541045
0.4475395112,0.7611977575
0.4593811756,0.7714441959
0.471391668,0.7814922162
0.4835652376,0.791342038
0.4958958347,0.8009945698
0.5083768839,0.8104517675
0.5210019371,0.8197158615
0.5337650982,0.8287887468
0.5466612357,0.8376716112
0.5596873057,0.8463628189
0.5728416129,0.8548586778
0.5861257488,0.8631500466
0.5995426245,0.8712248156
0.6130979343,0.8790649238
0.6267975583,0.8866499729
0.6406472768,0.8939573003
0.6546511915,0.9009645137
0.668809566,0.9076540934
0.6831198207,0.9140122625
0.6975738687,0.9200364147
0.7121614266,0.9257297269
0.7268683796,0.931107196
0.7416802272,0.9361887484
0.7565817548,0.9410010962
0.7715588217,0.9455730716
0.786598735,0.9499339738
0.8016903153,0.9541126724
0.8168243394,0.9581350168
0.8319929687,0.9620248859
0.8471903663,0.96580084
0.8624118543,0.9694785017
0.8776546465,0.9730668623
0.8929169543,0.9765712794
0.9081988781,0.979989152
0.9234987471,0.983325811
0.9388064383,0.9866264342
0.9541118477,0.9899376328
0.9694123063,0.9932716228
0.9847076055,0.9966292128
1,1
